Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondità (km)
2020/06/03 11:56:28.77,0.2,40.8263,14.1415,0.54,Revisionato
2020/06/03 12:50:22.02,-0.1,40.8263,14.1417,0.56,Revisionato
2020/06/05 14:25:10.35,-0.5,40.8258,14.1440,0.59,Revisionato
2020/06/07 04:36:17.81,0.5,40.8262,14.1285,1.73,Revisionato
2020/06/09 22:55:44.64,-0.8,40.8260,14.1443,1.38,Revisionato
2020/06/14 01:43:8.85,-0.3,40.8257,14.1435,0.75,Revisionato
2020/06/15 22:13:40.38,-0.1,40.8313,14.1457,1.23,Revisionato
2020/06/17 04:52:28.94,-0.5,40.8315,14.1402,1.50,Revisionato
2020/06/17 04:52:39.38,-0.5,40.8252,14.1415,0.76,Revisionato
2020/06/17 04:52:44.47,-0.5,40.8268,14.1405,0.92,Revisionato
2020/06/18 18:56:14.92,0.4,40.8270,14.1348,1.68,Revisionato
2020/06/18 18:58:1.34,0.4,40.8277,14.1355,1.70,Revisionato
2020/06/18 19:01:39.23,0.1,40.8257,14.1383,2.20,Revisionato
2020/06/18 19:13:19.06,0.9,40.8257,14.1347,1.42,Revisionato
2020/06/18 19:25:56.77,0.6,40.8265,14.1337,1.85,Revisionato
2020/06/19 11:02:56.43,-0.8,40.8265,14.1418,0.80,Revisionato
2020/06/20 00:53:11.40,-0.5,40.8315,14.1412,0.88,Revisionato
2020/06/21 04:23:37.13,0.4,40.8313,14.1283,2.04,Revisionato
2020/06/21 04:39:0.63,0.2,40.8318,14.1283,1.72,Revisionato
2020/06/21 09:52:41.54,-0.5,40.8245,14.1400,1.42,Revisionato
2020/06/23 07:55:13.69,-0.3,40.8203,14.1357,1.06,Revisionato
2020/06/23 19:04:23.87,-0.5,40.8315,14.1335,1.77,Revisionato
2020/06/24 01:32:58.12,0.2,40.8263,14.1428,0.90,Revisionato
2020/06/24 01:34:4.07,-0.5,40.8305,14.1425,0.68,Revisionato
2020/06/24 17:53:35.89,-0.3,40.8268,14.1350,1.78,Revisionato
2020/06/24 18:07:42.02,-0.1,40.8335,14.1310,1.53,Revisionato
2020/06/24 18:20:13.38,-0.1,40.8403,14.1267,1.44,Revisionato
2020/06/24 18:48:48.56,-0.1,40.8315,14.1328,1.10,Revisionato
2020/06/24 18:50:16.30,0.2,40.8315,14.1322,1.33,Revisionato
2020/06/24 18:51:4.30,0.1,40.8360,14.1302,1.32,Revisionato
2020/06/24 19:34:41.38,0.7,40.8292,14.1310,1.39,Revisionato
2020/06/25 00:10:56.42,-0.8,40.8285,14.1413,0.87,Revisionato
2020/06/25 03:54:47.49,0.2,40.8392,14.1323,1.46,Revisionato
2020/06/25 09:34:47.18,-1.0,40.8270,14.1413,0.80,Revisionato
2020/06/25 09:35:3.84,0.4,40.8260,14.1432,0.69,Revisionato
2020/06/25 09:35:24.19,0.1,40.8263,14.1430,0.81,Revisionato
2020/06/25 09:35:54.43,-0.1,40.8252,14.1430,0.76,Revisionato
2020/06/25 09:43:26.97,-0.1,40.8270,14.1422,0.72,Revisionato
2020/06/26 02:41:3.58,-0.8,40.8265,14.1430,0.88,Revisionato
2020/06/29 19:48:29.13,-0.3,40.8245,14.1422,1.01,Revisionato
2020/06/30 02:13:36.83,-0.1,40.8265,14.1408,0.78,Revisionato
2020/06/30 23:01:0.91,-0.1,40.8258,14.1423,0.85,Revisionato
2020/07/02 02:14:14.83,0.5,40.8233,14.1423,0.50,Revisionato
2020/07/04 23:40:17.78,-0.1,40.8250,14.1435,0.45,Revisionato
2020/07/07 07:05:6.90,0.2,40.8215,14.1310,0.98,Revisionato
2020/07/07 07:20:47.33,0.5,40.8217,14.1310,0.96,Revisionato
2020/07/08 03:57:30.26,-0.3,40.8263,14.1433,0.75,Revisionato
2020/07/08 03:59:18.24,-0.1,40.8250,14.1430,0.61,Revisionato
2020/07/08 04:01:23.00,-0.5,40.8233,14.1437,0.53,Revisionato
2020/07/08 12:22:21.38,-0.1,40.8233,14.1412,1.05,Revisionato
2020/07/09 03:39:38.43,0.1,40.8223,14.1400,1.33,Revisionato
2020/07/09 03:39:56.12,0.2,40.8203,14.1400,1.03,Revisionato
2020/07/11 21:22:37.89,0.9,40.8310,14.1478,1.31,Revisionato
2020/07/11 21:23:12.29,0.5,40.8295,14.1428,1.12,Revisionato
2020/07/11 21:31:34.43,-0.1,40.8315,14.1432,1.18,Revisionato
2020/07/12 23:29:3.47,0.1,40.8318,14.1435,0.94,Revisionato
2020/07/12 23:29:22.02,-0.1,40.8277,14.1438,0.83,Revisionato
2020/07/13 03:14:15.89,-0.3,40.8217,14.1423,1.54,Revisionato
2020/07/13 03:14:23.05,0.6,40.8238,14.1390,1.47,Revisionato
2020/07/13 03:20:36.77,0.1,40.8232,14.1402,1.33,Revisionato
2020/07/14 09:35:2.05,0.6,40.8385,14.1245,1.34,Revisionato
2020/07/14 18:58:23.44,0.6,40.8217,14.1382,1.16,Revisionato
2020/07/14 19:07:8.83,0.9,40.8225,14.1373,0.98,Revisionato
2020/07/14 19:07:30.28,0.2,40.8222,14.1403,1.06,Revisionato
2020/07/14 19:13:35.27,0.8,40.8232,14.1397,1.78,Revisionato
2020/07/15 00:46:10.88,-0.5,40.8222,14.1402,1.65,Revisionato
2020/07/15 00:47:5.04,-0.3,40.8232,14.1375,1.27,Revisionato
2020/07/15 00:50:46.27,0.1,40.8258,14.1360,1.07,Revisionato
2020/07/15 21:58:15.98,0.4,40.8255,14.1440,0.70,Revisionato
2020/07/15 22:03:29.60,-0.5,40.8245,14.1408,0.71,Revisionato
2020/07/17 17:50:55.11,-0.3,40.8268,14.1402,1.02,Revisionato
2020/07/18 09:51:31.83,-0.5,40.8278,14.1412,1.02,Revisionato
2020/07/19 01:01:8.54,0.2,40.8315,14.1342,1.49,Revisionato
2020/07/19 01:03:23.98,-0.1,40.8315,14.1355,1.80,Revisionato
2020/07/21 03:38:26.10,0.1,40.8253,14.1402,1.14,Revisionato
2020/07/22 17:01:22.95,-0.8,40.8285,14.1420,0.75,Revisionato
2020/07/23 04:41:41.70,-0.5,40.8315,14.1413,0.89,Revisionato
2020/07/23 10:44:12.01,-0.8,40.8243,14.1433,1.10,Revisionato
2020/07/23 10:47:5.91,0.2,40.8257,14.1432,0.75,Revisionato
2020/07/26 20:54:46.30,-0.5,40.8285,14.1422,0.84,Revisionato
2020/07/29 09:11:4.53,0.1,40.8258,14.1393,0.92,Revisionato
2020/07/29 09:12:54.43,-0.1,40.8233,14.1410,0.66,Revisionato
2020/07/29 09:21:10.40,0.1,40.8267,14.1455,0.90,Revisionato
2020/07/31 02:06:2.66,-0.1,40.8268,14.1367,2.08,Revisionato
2020/07/31 02:06:55.87,-0.3,40.8185,14.1363,1.42,Revisionato
2020/07/31 13:18:51.43,-0.3,40.8228,14.1300,1.22,Revisionato
2020/07/31 13:22:51.00,0.2,40.8248,14.1287,1.69,Revisionato
2020/08/01 03:48:13.62,1.0,40.8270,14.1427,1.31,Revisionato
2020/08/01 23:06:53.38,0.6,40.8348,14.1255,1.45,Revisionato
2020/08/03 17:33:47.21,0.4,40.8427,14.1608,3.80,Revisionato
2020/08/05 11:00:50.02,-0.5,40.8222,14.1493,1.30,Revisionato
2020/08/08 10:41:23.65,-0.3,40.8282,14.1422,0.76,Revisionato
2020/08/08 10:53:10.48,-0.8,40.8292,14.1427,0.53,Revisionato
2020/08/09 18:32:38.02,-0.3,40.8273,14.1412,1.04,Revisionato
2020/08/13 23:01:16.34,-0.5,40.8303,14.1380,1.32,Revisionato
2020/08/22 23:24:32.53,-0.5,40.8315,14.1422,0.77,Revisionato
2020/08/27 05:27:58.84,0.5,40.8305,14.1413,0.68,Revisionato
2020/08/28 14:51:20.68,-0.3,40.8300,14.1422,0.63,Revisionato
2020/08/28 15:13:4.06,-0.5,40.8315,14.1402,1.08,Revisionato
2020/08/28 21:35:28.98,-0.1,40.8212,14.1332,0.82,Revisionato
2020/08/30 10:28:4.17,0.5,40.8257,14.1395,1.20,Revisionato
2020/08/30 23:27:56.41,0.2,40.8228,14.1253,0.73,Revisionato
2020/08/31 17:23:18.44,0.4,40.8278,14.1385,0.91,Revisionato
2020/09/01 01:34:27.82,-0.3,40.8272,14.1408,1.08,Revisionato
2020/09/01 01:34:30.64,-0.1,40.8290,14.1405,1.00,Revisionato
2020/09/01 01:35:25.31,-0.5,40.8292,14.1402,0.92,Revisionato
2020/09/01 09:59:34.68,0.4,40.8177,14.1317,0.95,Revisionato
2020/09/03 06:25:57.44,-0.5,40.8283,14.1402,0.57,Revisionato
2020/09/04 13:47:12.03,-0.3,40.8323,14.1435,0.16,Revisionato
2020/09/04 14:02:18.53,-0.3,40.8307,14.1428,0.13,Revisionato
2020/09/04 17:01:14.72,0.4,40.8285,14.1392,1.26,Revisionato
2020/09/05 02:55:18.48,0.6,40.8228,14.1278,1.81,Revisionato
2020/09/05 02:55:33.66,0.7,40.8228,14.1242,1.38,Revisionato
2020/09/07 22:36:32.41,0.1,40.8285,14.1408,1.13,Revisionato
2020/09/07 22:37:6.95,-0.3,40.8298,14.1418,1.45,Revisionato
2020/09/09 15:00:38.72,-0.5,40.8280,14.1383,0.62,Revisionato
2020/09/10 01:48:31.80,1.1,40.8178,14.1228,1.08,Revisionato
2020/09/10 01:48:57.45,0.9,40.8228,14.1220,1.01,Revisionato
2020/09/10 01:53:29.55,0.7,40.8205,14.1232,1.07,Revisionato
2020/09/11 12:51:45.28,-0.1,40.8217,14.1378,1.07,Revisionato
2020/09/11 17:32:31.03,0.8,40.8315,14.1412,1.62,Revisionato
2020/09/11 17:32:48.32,0.4,40.8275,14.1402,1.45,Revisionato
2020/09/11 17:36:43.31,-0.3,40.8248,14.1390,1.45,Revisionato
2020/09/15 00:00:21.69,-0.5,40.8298,14.1418,0.65,Revisionato
2020/09/17 00:20:26.13,-0.1,40.8318,14.1415,0.87,Revisionato
2020/09/17 00:38:39.32,-0.1,40.8277,14.1422,1.03,Revisionato
2020/09/17 00:39:4.08,0.4,40.8285,14.1408,1.06,Revisionato
2020/09/17 00:41:16.77,0.4,40.8302,14.1418,1.11,Revisionato
2020/09/17 00:43:18.20,-0.1,40.8288,14.1425,0.70,Revisionato
2020/09/17 07:53:2.10,0.7,40.8242,14.1322,1.49,Revisionato
2020/09/17 07:59:27.85,0.7,40.8247,14.1327,1.08,Revisionato
2020/09/18 00:03:11.65,-0.1,40.8290,14.1447,0.77,Revisionato
2020/09/18 02:20:34.62,0.1,40.8308,14.1437,0.85,Revisionato
2020/09/18 09:10:25.96,1.1,40.8235,14.1347,0.99,Revisionato
2020/09/18 09:28:17.38,1.2,40.8278,14.1337,1.66,Revisionato
2020/09/18 21:13:32.53,-0.3,40.8255,14.1410,0.86,Revisionato
2020/09/18 21:16:11.03,0.1,40.8277,14.1412,0.78,Revisionato
2020/09/18 22:33:45.64,0.4,40.8315,14.1400,0.68,Revisionato
2020/09/19 01:46:49.94,0.5,40.8258,14.1365,0.86,Revisionato
2020/09/19 05:36:31.14,0.7,40.8258,14.1408,1.19,Revisionato
2020/09/19 06:37:4.34,0.4,40.8295,14.1407,0.79,Revisionato
2020/09/19 11:42:56.97,0.2,40.8247,14.1337,1.05,Revisionato
2020/09/19 12:54:59.15,0.7,40.8228,14.1203,1.26,Revisionato
2020/09/19 13:46:38.32,-0.3,40.8238,14.1337,0.90,Revisionato
2020/09/19 15:12:54.45,0.4,40.8262,14.1357,1.21,Revisionato
2020/09/19 16:50:4.04,-0.3,40.8293,14.1428,1.07,Revisionato
2020/09/20 02:35:55.96,0.9,40.8202,14.1333,1.36,Revisionato
2020/09/20 03:01:17.97,0.9,40.8220,14.1312,0.67,Revisionato
2020/09/20 04:07:26.64,-0.1,40.8290,14.1412,0.48,Revisionato
2020/09/20 04:56:55.32,0.1,40.8307,14.1407,0.67,Revisionato
2020/09/20 04:58:17.21,0.2,40.8283,14.1408,0.81,Revisionato
2020/09/20 05:15:5.86,0.1,40.8305,14.1398,0.64,Revisionato
2020/09/20 14:44:16.59,1.2,40.8267,14.1365,1.03,Revisionato
2020/09/21 01:50:19.13,0.1,40.8295,14.1412,0.99,Revisionato
2020/09/21 01:50:56.06,-0.1,40.8277,14.1402,1.10,Revisionato
2020/09/21 04:06:48.52,0.1,40.8250,14.1358,1.03,Revisionato
2020/09/21 11:18:11.79,0.6,40.8223,14.1412,0.86,Revisionato
2020/09/21 16:44:44.70,0.2,40.8293,14.1410,0.75,Revisionato
2020/09/22 03:44:29.26,0.1,40.8313,14.1467,1.44,Revisionato
2020/09/22 03:44:37.13,0.2,40.8328,14.1458,1.46,Revisionato
2020/09/22 03:56:23.78,0.2,40.8278,14.1472,1.28,Revisionato
2020/09/22 18:13:12.98,0.2,40.8218,14.1383,0.91,Revisionato
2020/09/23 03:35:35.09,0.4,40.8238,14.1415,1.01,Revisionato
2020/09/23 03:37:19.00,-0.8,40.8235,14.1407,1.11,Revisionato
2020/09/23 03:37:57.49,0.7,40.8257,14.1405,1.12,Revisionato
2020/09/23 05:50:47.78,0.7,40.8237,14.1417,0.86,Revisionato
2020/09/23 20:03:43.26,0.1,40.8215,14.1417,0.46,Revisionato
2020/09/24 22:22:24.73,0.1,40.8228,14.1292,0.75,Revisionato
2020/09/24 22:48:34.48,0.2,40.8227,14.1288,0.89,Revisionato
2020/09/25 11:38:7.77,0.2,40.8228,14.1293,0.82,Revisionato
2020/09/25 12:30:40.70,-0.1,40.8235,14.1327,1.43,Revisionato
2020/09/26 15:42:31.49,0.2,40.8275,14.1450,0.83,Revisionato
2020/09/26 15:44:14.69,0.1,40.8292,14.1433,0.54,Revisionato
2020/09/26 15:50:14.46,0.6,40.8245,14.1473,0.93,Revisionato
2020/09/27 11:08:21.54,-0.5,40.8263,14.1435,0.72,Revisionato
2020/09/27 11:08:27.25,-0.5,40.8272,14.1413,0.83,Revisionato
2020/09/28 01:06:17.50,0.1,40.8297,14.1437,0.80,Revisionato
2020/09/28 20:06:29.12,0.2,40.8270,14.1425,0.93,Revisionato
2020/09/29 12:17:14.03,0.2,40.8315,14.1440,1.13,Revisionato
2020/09/29 12:17:46.65,-0.3,40.8285,14.1418,1.09,Revisionato
2020/09/29 12:20:22.17,0.9,40.8315,14.1418,1.24,Revisionato
2020/09/29 12:21:9.22,0.4,40.8315,14.1432,1.12,Revisionato
2020/10/01 04:07:17.13,-0.3,40.8233,14.1373,0.54,Revisionato
2020/10/01 13:34:35.75,0.4,40.8248,14.1423,1.27,Revisionato
2020/10/01 13:34:51.98,0.6,40.8243,14.1423,1.04,Revisionato
2020/10/01 13:35:3.32,0.4,40.8243,14.1423,1.14,Revisionato
2020/10/02 00:56:39.11,0.9,40.8250,14.1415,0.58,Revisionato
2020/10/02 01:05:47.44,-0.3,40.8248,14.1445,0.50,Revisionato
2020/10/02 01:07:57.34,-0.8,40.8243,14.1420,0.46,Revisionato
2020/10/02 01:08:59.89,-0.1,40.8247,14.1450,0.66,Revisionato
2020/10/02 01:42:14.65,0.2,40.8242,14.1428,0.73,Revisionato
2020/10/02 11:42:30.27,0.2,40.8228,14.1277,0.95,Revisionato
2020/10/02 21:43:29.20,0.2,40.8302,14.1433,0.39,Revisionato
2020/10/04 01:53:53.40,0.7,40.8238,14.1298,1.15,Revisionato
2020/10/04 03:03:35.90,0.6,40.8235,14.1302,1.22,Revisionato
2020/10/04 04:11:59.25,0.5,40.8315,14.1402,1.07,Revisionato
2020/10/04 19:13:10.87,0.2,40.8278,14.1392,1.06,Revisionato
2020/10/05 03:13:18.37,0.2,40.8298,14.1415,0.66,Revisionato
2020/10/05 12:01:0.35,0.9,40.8345,14.1093,2.98,Revisionato
2020/10/06 17:06:23.05,-0.1,40.8277,14.1413,0.81,Revisionato
2020/10/07 05:09:42.39,0.1,40.8248,14.1423,0.90,Revisionato
2020/10/07 05:33:19.41,-0.1,40.8245,14.1497,1.28,Revisionato
2020/10/07 18:17:20.28,0.2,40.8277,14.1427,0.92,Revisionato
2020/10/07 23:30:0.36,0.4,40.8217,14.1330,1.14,Revisionato
2020/10/07 23:51:31.58,0.6,40.8235,14.1320,1.10,Revisionato
2020/10/08 00:04:28.36,0.1,40.8205,14.1310,1.09,Revisionato
2020/10/08 02:11:26.04,-0.3,40.8268,14.1418,0.69,Revisionato
2020/10/08 02:11:33.16,0.9,40.8270,14.1408,1.42,Revisionato
2020/10/08 08:52:49.70,0.4,40.8287,14.1423,0.71,Revisionato
2020/10/08 08:57:49.46,0.4,40.8262,14.1440,0.64,Revisionato
2020/10/08 09:01:41.68,0.2,40.8252,14.1455,0.70,Revisionato
2020/10/08 13:02:59.72,-0.1,40.8250,14.1328,1.30,Revisionato
2020/10/08 17:18:59.28,0.2,40.8228,14.1203,1.47,Revisionato
2020/10/08 18:03:12.07,-0.1,40.8228,14.1350,1.64,Revisionato
2020/10/08 18:19:22.26,-0.1,40.8257,14.1402,1.28,Revisionato
2020/10/08 23:40:27.56,-0.1,40.8290,14.1457,1.32,Revisionato
2020/10/09 00:47:28.16,0.4,40.8228,14.1142,0.75,Revisionato
2020/10/09 00:48:19.14,0.2,40.8228,14.1213,1.22,Revisionato
2020/10/09 00:48:55.79,-0.3,40.8228,14.1203,0.96,Revisionato
2020/10/09 01:03:55.18,-0.1,40.8297,14.1415,0.79,Revisionato
2020/10/09 01:23:18.08,1.1,40.8228,14.1232,1.79,Revisionato
2020/10/09 01:25:7.30,0.2,40.8205,14.1192,0.97,Revisionato
2020/10/09 01:25:21.34,0.1,40.8232,14.1415,0.71,Revisionato
2020/10/09 02:02:27.65,0.2,40.8285,14.1213,0.99,Revisionato
2020/10/09 02:07:11.23,0.4,40.8297,14.1385,1.21,Revisionato
2020/10/09 02:08:34.91,-0.1,40.8315,14.1390,0.72,Revisionato
2020/10/09 03:00:14.59,0.2,40.8282,14.1410,0.33,Revisionato
2020/10/09 03:11:59.70,0.2,40.8273,14.1375,0.98,Revisionato
2020/10/09 09:48:59.33,-0.1,40.8240,14.1390,1.47,Revisionato
2020/10/10 00:07:11.56,0.4,40.8313,14.1435,0.82,Revisionato
2020/10/11 07:49:3.06,-0.1,40.8283,14.1442,0.84,Revisionato
2020/10/11 09:22:51.26,-0.3,40.8238,14.1383,1.40,Revisionato
2020/10/12 11:12:38.22,-0.5,40.8292,14.1438,0.45,Revisionato
2020/10/12 11:13:33.36,-0.1,40.8260,14.1427,0.57,Revisionato
2020/10/13 01:35:57.48,-0.5,40.8298,14.1475,0.88,Revisionato
2020/10/13 01:59:17.18,-0.8,40.8295,14.1430,0.45,Revisionato
2020/10/13 07:33:50.06,-0.5,40.8293,14.1445,0.75,Revisionato
2020/10/14 00:24:50.31,-0.3,40.8283,14.1450,0.69,Revisionato
2020/10/14 09:39:11.98,-0.3,40.8267,14.1408,0.68,Revisionato
2020/10/14 17:06:45.49,-0.1,40.8235,14.1357,0.53,Revisionato
2020/10/15 03:59:33.48,0.6,40.8252,14.1333,1.59,Revisionato
2020/10/15 08:53:37.97,0.1,40.8250,14.1402,0.95,Revisionato
2020/10/15 12:43:42.76,-0.1,40.8350,14.1415,0.26,Revisionato
2020/10/15 22:05:53.62,1.5,40.8090,14.1143,4.46,Revisionato
2020/10/16 02:16:56.77,0.9,40.8228,14.1263,1.73,Revisionato
2020/10/16 15:11:28.23,-0.3,40.8245,14.1443,0.48,Revisionato
2020/10/17 17:39:46.71,-0.1,40.8270,14.1432,1.65,Revisionato
2020/10/17 19:54:26.25,-0.8,40.8292,14.1433,0.48,Revisionato
2020/10/18 13:25:12.85,-0.5,40.8223,14.1443,0.88,Revisionato
2020/10/19 09:48:10.49,-0.3,40.8242,14.1343,1.34,Revisionato
2020/10/19 14:03:35.07,-0.5,40.8270,14.1417,0.56,Revisionato
2020/10/19 14:05:2.66,-0.1,40.8273,14.1403,0.91,Revisionato
2020/10/20 07:45:52.51,-0.1,40.8250,14.1390,0.80,Revisionato
2020/10/20 14:58:15.39,-0.3,40.8198,14.1347,0.86,Revisionato
2020/10/20 17:28:59.90,0.5,40.8217,14.1357,1.37,Revisionato
2020/10/20 20:23:25.06,0.5,40.8217,14.1360,1.33,Revisionato
2020/10/20 22:17:10.73,0.2,40.8235,14.1323,0.75,Revisionato
2020/10/21 01:07:23.58,0.4,40.8227,14.1367,1.19,Revisionato
2020/10/21 01:29:26.49,0.2,40.8245,14.1348,0.53,Revisionato
2020/10/21 02:12:33.24,0.2,40.8292,14.1300,1.15,Revisionato
2020/10/21 02:49:6.02,0.2,40.8247,14.1328,1.27,Revisionato
2020/10/21 03:15:33.73,0.2,40.8295,14.1297,1.58,Revisionato
2020/10/21 03:15:42.82,0.1,40.8315,14.1298,1.42,Revisionato
2020/10/21 03:16:12.17,0.2,40.8233,14.1327,0.34,Revisionato
2020/10/21 03:26:8.72,0.7,40.8342,14.1287,0.95,Revisionato
2020/10/21 04:13:42.49,-0.1,40.8188,14.1362,0.87,Revisionato
2020/10/21 18:37:4.34,-0.5,40.8222,14.1430,0.97,Revisionato
2020/10/21 23:18:1.49,0.5,40.8270,14.1272,0.88,Revisionato
2020/10/22 11:25:38.76,-0.5,40.8282,14.1428,0.88,Revisionato
2020/10/24 01:44:12.12,-0.5,40.8203,14.1418,1.41,Revisionato
2020/10/24 06:04:5.01,0.1,40.8405,14.1427,0.83,Revisionato
2020/10/24 09:26:19.32,-0.8,40.8302,14.1415,0.56,Revisionato
2020/10/24 23:23:53.84,-0.5,40.8217,14.1343,0.85,Revisionato
2020/10/25 06:11:53.57,-0.3,40.8282,14.1288,1.22,Revisionato
2020/10/25 15:24:32.84,0.6,40.8238,14.1393,0.96,Revisionato
2020/10/25 18:39:40.51,-0.3,40.8253,14.1323,1.24,Revisionato
2020/10/25 18:39:53.86,-0.1,40.8243,14.1350,1.38,Revisionato
2020/10/25 18:42:35.08,0.1,40.8255,14.1325,0.71,Revisionato
2020/10/25 18:45:9.40,0.1,40.8272,14.1343,1.64,Revisionato
2020/10/25 18:49:4.21,-0.3,40.8228,14.1312,0.73,Revisionato
2020/10/25 22:22:49.42,-0.5,40.8282,14.1322,1.27,Revisionato
2020/10/25 22:22:54.50,-0.3,40.8222,14.1327,0.95,Revisionato
2020/10/25 22:23:30.44,-0.1,40.8217,14.1337,0.45,Revisionato
2020/10/25 23:34:31.45,0.2,40.8227,14.1363,0.75,Revisionato
2020/10/26 01:24:54.04,0.1,40.8313,14.1428,0.77,Revisionato
2020/10/26 01:48:38.34,-0.1,40.8240,14.1357,0.60,Revisionato
2020/10/26 03:04:2.20,-0.1,40.8217,14.1367,0.98,Revisionato
2020/10/26 03:06:40.57,0.4,40.8195,14.1373,0.94,Revisionato
2020/10/26 03:13:29.98,-0.1,40.8207,14.1365,0.79,Revisionato
2020/10/26 04:00:52.70,-0.3,40.8263,14.1423,0.78,Revisionato
2020/10/26 05:18:13.19,-0.5,40.8263,14.1442,0.52,Revisionato
2020/10/26 23:29:54.17,-0.1,40.8247,14.1252,2.19,Revisionato
2020/10/27 00:54:22.37,0.1,40.8235,14.1338,0.93,Revisionato
2020/10/27 00:54:42.67,0.2,40.8257,14.1302,0.94,Revisionato
2020/10/27 01:04:56.60,0.5,40.8247,14.1340,1.06,Revisionato
2020/10/27 09:19:2.64,-0.5,40.8297,14.1402,0.62,Revisionato
2020/10/27 12:01:32.11,-0.1,40.8238,14.1320,0.58,Revisionato
2020/10/27 22:22:22.28,0.5,40.8385,14.1282,1.67,Revisionato
2020/10/27 22:45:59.63,0.2,40.8273,14.1285,2.35,Revisionato
2020/10/29 00:27:22.58,0.1,40.8212,14.1333,0.90,Revisionato
2020/10/29 01:17:46.22,-0.3,40.8253,14.1402,1.20,Revisionato
2020/10/29 03:49:45.22,0.8,40.8263,14.1390,0.87,Revisionato
2020/10/29 14:38:26.20,-0.3,40.8228,14.1307,0.89,Revisionato
2020/10/29 16:39:26.72,-0.5,40.8303,14.1428,0.72,Revisionato
2020/10/30 05:33:37.37,-0.1,40.8290,14.1412,0.82,Revisionato
2020/10/30 19:32:53.85,-0.3,40.8265,14.1418,0.99,Revisionato
2020/10/30 19:42:39.04,0.2,40.8283,14.1447,1.06,Revisionato
2020/10/30 20:23:34.02,-0.1,40.8287,14.1438,1.09,Revisionato
2020/10/30 20:46:1.96,0.2,40.8228,14.1347,1.37,Revisionato
2020/10/31 12:09:42.47,-0.3,40.8228,14.1233,0.95,Revisionato
2020/11/01 06:00:50.16,0.2,40.8270,14.1402,0.96,Revisionato
2020/11/01 08:40:14.94,-0.1,40.8317,14.1628,0.82,Revisionato
2020/11/01 11:08:22.70,-0.5,40.8287,14.1423,0.82,Revisionato
2020/11/01 14:27:51.42,0.2,40.8188,14.1427,0.27,Revisionato
2020/11/01 14:46:28.76,0.1,40.8218,14.1412,0.74,Revisionato
2020/11/01 23:18:57.97,-0.1,40.8263,14.1347,1.06,Revisionato
2020/11/02 02:06:22.62,-0.3,40.8270,14.1402,1.05,Revisionato
2020/11/02 03:38:41.62,-0.5,40.8222,14.1402,0.54,Revisionato
2020/11/02 19:05:12.68,0.2,40.8182,14.1215,0.90,Revisionato
2020/11/03 01:50:53.67,0.2,40.8228,14.1180,2.27,Revisionato
2020/11/03 05:58:34.09,-0.3,40.8282,14.1418,1.48,Revisionato
2020/11/03 09:20:32.04,0.4,40.8207,14.1313,0.97,Revisionato
2020/11/03 09:35:33.04,0.5,40.8203,14.1290,1.17,Revisionato
2020/11/03 11:58:1.36,0.6,40.8213,14.1312,1.23,Revisionato
2020/11/03 12:11:55.16,-0.5,40.8228,14.1303,1.25,Revisionato
2020/11/03 12:28:19.37,0.2,40.8185,14.1283,0.97,Revisionato
2020/11/03 12:32:30.49,0.6,40.8228,14.1295,1.17,Revisionato
2020/11/03 13:09:56.15,0.2,40.8203,14.1298,1.74,Revisionato
2020/11/03 13:13:21.17,0.9,40.8228,14.1302,1.67,Revisionato
2020/11/03 13:54:57.52,0.4,40.8202,14.1313,0.95,Revisionato
2020/11/03 15:24:15.39,-0.1,40.8207,14.1328,0.79,Revisionato
2020/11/04 13:28:19.62,0.1,40.8287,14.1448,0.94,Revisionato
2020/11/04 15:13:43.09,-0.1,40.8210,14.1217,1.44,Revisionato
2020/11/04 20:56:57.01,0.9,40.8257,14.1420,1.70,Revisionato
2020/11/04 20:57:38.54,0.4,40.8230,14.1400,0.98,Revisionato
2020/11/05 01:21:47.22,0.6,40.8228,14.1273,0.90,Revisionato
2020/11/05 01:22:27.52,0.4,40.8228,14.1283,1.40,Revisionato
2020/11/05 03:32:36.37,0.5,40.8245,14.1327,1.66,Revisionato
2020/11/05 04:19:55.55,0.8,40.8228,14.1337,1.53,Revisionato
2020/11/05 04:44:49.07,0.4,40.8202,14.1360,1.18,Revisionato
2020/11/06 05:14:49.87,1.1,40.8228,14.1170,1.77,Revisionato
2020/11/06 15:52:3.04,-0.1,40.8268,14.1348,1.43,Revisionato
2020/11/06 18:31:32.44,0.7,40.8250,14.1407,0.71,Revisionato
2020/11/06 18:31:45.18,0.6,40.8252,14.1415,0.68,Revisionato
2020/11/06 18:38:4.74,-0.3,40.8307,14.1430,0.18,Revisionato
2020/11/07 03:03:10.96,-0.5,40.8248,14.1438,0.97,Revisionato
2020/11/07 03:13:10.20,-0.8,40.8245,14.1427,0.86,Revisionato
2020/11/07 13:30:56.49,0.6,40.8198,14.1165,1.62,Revisionato
2020/11/07 20:33:34.18,-0.1,40.8248,14.1390,0.86,Revisionato
2020/11/07 20:34:14.71,0.1,40.8250,14.1372,0.40,Revisionato
2020/11/07 20:35:5.59,-0.1,40.8273,14.1402,1.04,Revisionato
2020/11/08 02:59:12.89,0.1,40.8255,14.1438,1.39,Revisionato
2020/11/08 03:14:31.09,0.1,40.8253,14.1415,1.32,Revisionato
